OBJECTID,DISTRICT,Acres,BRD_DIST,GlobalID,Shape__Area,Shape__Length
837,1,4664.1592592,District 1,0c628136-d828-445a-924e-48f0bf9d5714,203170777.328369,83768.5942369932
838,2,2159.67392921,District 2,5e007490-8a36-4e7e-810e-d05074b11b33,94075396.3588867,65424.6428222084
839,3,2565.15055439,District 3,4e1a261c-1266-4a26-960e-f75501c4155c,111737958.146973,71590.7382548248
840,4,1322.47710866,District 4,60ebff85-a87e-4fff-9d3b-9771e0b989fb,57607102.8562012,50220.7433323498
841,5,1190.04690126,District 5,2861a6b8-3ec5-40ec-99b2-e913082cfa6a,51838443.0212402,37951.9438755807
842,6,1742.50430995,District 6,b84e6d4b-1880-442c-a87e-00d26e5f0c5f,75903487.7382813,47743.3940396774
843,7,10156.83904048,District 7,e96cfed7-89d2-466e-b052-a623ea81555c,442431908.599365,133262.342738258
844,8,2092.36116929,District 8,f2b29ca6-39c8-46a9-97a7-7ef889596dd3,91143252.5339355,77613.7553288609
845,9,3573.89697215,District 9,8f35af36-7a9a-4c42-b9b0-c045a9641277,155678952.109863,71441.8428347416
846,10,2211.27496028,District 10,7ef889c0-b9a3-4398-8a64-ee25aeb00ace,96323137.2653809,52526.0996569795
847,12,5616.99304026,District 12,928cfea0-9588-4466-8e28-569bb080696a,244676216.835449,104852.124457429
848,11,6134.87478544,District 11,57598fa3-b8f4-4809-a70d-cb753caa42c9,267235145.654785,96324.081061293
849,13,19534.16884712,District 13,57c59c96-81bc-4b34-935d-b131a22a4918,850908394.980469,209020.815357689
850,14,104440.89136599,District 14,2381ce19-5155-4d91-81a1-7920566adda3,4549445227.89697,391249.629285204
851,15,16409.68074953,District 15,0ba152f0-4305-4dc1-8b75-33acf8670e37,714805693.449219,152033.811840601
852,16,115267.44173897,District 16,e809b0aa-528f-4ddf-8ef5-e550c07e49b7,5021049762.1521,325071.813596375
853,17,12924.04168562,District 17,c0534975-baf6-4656-9273-4777c6c9f255,562971255.825195,124534.907675852
854,18,91540.71347366,District 18,65832f05-58e7-4f95-a45f-1b9f9dd4ce21,3987513478.91821,375966.705738997
