OBJECTID,TownshipName,TownshipNum,TownshipDir,RangeNum,RangeDir,Acres,Shape__Area,Shape__Length
1,T6NR6E,6,N,6,E,1547 a,67676689.434082,41598.2014324624
2,T7NR8E,7,N,8,E,42.78 a,1863454.94995117,6667.37965070433
3,T7NR7E,7,N,7,E,16004 a,695250499.675537,112291.219863891
4,T7NR6E,7,N,6,E,22014 a,958933737.801025,124542.669518166
5,T8NR6E,8,N,6,E,23406 a,1019570945.59473,127628.874810069
6,T8NR8E,8,N,8,E,8550 a,373558989.056885,102386.868444491
7,T8NR7E,8,N,7,E,23156 a,1008672692.58203,127089.655464696
8,T8NR5E,8,N,5,E,23025 a,1002958236.06104,126706.088188644
9,T9NR8E,9,N,8,E,17485 a,761371602.846436,112490.046358097
10,T9NR7E,9,N,7,E,23340 a,1016692549.35938,127515.142796109
11,T9NR6E,9,N,6,E,23378 a,1018357937.56396,127668.687020301
12,T9NR5E,9,N,5,E,23371 a,1018061816.51416,127605.765799404
13,T10NR6E,10,N,6,E,23208 a,1010955092.34229,127189.742901915
14,T10NR7E,10,N,7,E,23581 a,1027175414.79663,128097.716332357
15,T10NR8E,10,N,8,E,21552 a,938387656.991699,121895.148933792
16,T10NR5E,10,N,5,E,23335 a,1016471126.71484,127483.843542257
17,T10NR9E,10,N,9,E,1351 a,60078197.095459,35562.3030444061
18,T11NR7E,11,N,7,E,23348 a,1017025324.74121,127652.379072397
19,T11NR8E,11,N,8,E,23121 a,1007161896.18237,126953.733586069
20,T11NR5E,11,N,5,E,23445 a,1021280210.8147,127833.234833315
21,T11NR6E,11,N,6,E,23287 a,1014391765.62231,127306.621700246
22,T11NR9E,11,N,9,E,11770 a,517209823.897949,98599.3573713961
