X,Y,OBJECTID,LINK_ID,POI_ID,FAC_TYPE,POI_NAME,POI_LANGCD,POI_NMTYPE,POI_ST_NUM,ST_NAME,ST_LANGCD,POI_ST_SD,ACC_TYPE,PH_NUMBER,CHAIN_ID,NAT_IMPORT,PRIVATE,IN_VICIN,NUM_PARENT,NUM_CHILD,VAN_CITY,ACT_ADDR,ACT_ST_NAM,ACT_ST_NUM,ACT_ADMIN,ACT_POSTAL
2480921.211676754057407,1547624.047216840088367,1,123249395,33022541,8231,CHILLICOTHE PUBLIC LIBRARY DISTRICT,ENG,B,430,N BRADLEY AVE,ENG,R, ,309-2742719,0,N,N,N,0,0, , , , , , 
2458845.024201922118664,1486214.19595542550087,2,130089067,33141207,8231,PEORIA HEIGHTS PUBLIC LIBRARY,ENG,B,816,E GLEN AVE,ENG,L, ,309-6825578,0,N,N,N,0,0, , , , , , 
2374587.015881005674601,1519468.243620425462723,3,103002053,33127793,8231,BRIMFIELD PUBLIC LIBRARY,ENG,B,111,S GALENA AVE,ENG,L, ,309-4469575,0,N,N,N,0,0, , , , , , 
2433119.63798875361681,1526580.866862341761589,4,123243826,33023632,8231,DUNLAP PUBLIC LIBRARY,ENG,B,13918,W CEDAR HILLS DR,ENG,R, ,309-2435716,0,N,N,N,0,0, , , , , , 
2409931.719797752797604,1553376.386105842888355,5,102998119,33022586,8231,LILLIE M EVANS LIBRARY,ENG,B,207,N WALNUT ST,ENG,L, ,309-3854540,0,N,N,N,0,0, , , , , , 
2431375.90755233541131,1449486.110291011631489,6,123252199,33103768,8231,ALPHA PARK LIBRARY,ENG,B,3527,AIRPORT RD,ENG,L, ,309-6973822,0,N,N,N,0,0, , , , , , 
2444182.973145503550768,1457242.508164010941982,7,103016444,33141210,8231,PEORIA PUBLIC LIBRARY-SOUTHSIDE,ENG,B,2605,W KRAUSE AVE,ENG,R, ,309-4972300,0,N,N,N,0,0, , , , , , 
2449747.152962002903223,1462319.248010508716106,8,92679768,33023574,8231,PEORIA PUBLIC LIBRARY LINCOLN BRNCH,ENG,B,1312,W LINCOLN AVE,ENG,R, ,309-6728910,0,N,N,N,0,0, , , , , , 
2455805.583758503198624,1467660.514230839908123,9,103013842,33141208,8231,PEORIA PUBLIC LIBRARY-MAIN,ENG,B,107,NE MONROE ST,ENG,L, ,309-4972000,0,N,N,N,0,0, , , , , , 
2454164.894782669842243,1475911.828764922916889,10,103011232,33111941,8231,PEORIA PUBLIC LIBRARY-MCCLURE,ENG,B,315,W MCCLURE AVE,ENG,R, ,309-4972700,0,N,N,N,0,0, , , , , , 
2351476.273716755211353,1497268.542613096535206,11,108731470,33105661,8231,MORRISON & MARY WILEY LIBRARY,ENG,B,206,W MAIN ST,ENG,R, ,309-7422431,0,N,N,N,0,0, , , , , , 
2450339.933600585907698,1484264.380301259458065,12,20137158,33141209,8231,PEORIA PUBLIC LIBRARY-LAKEVIEW,ENG,B,1137,W LAKE AVE,ENG,R, ,309-4972200,0,N,N,N,0,0, , , , , , 
2452382.620788171887398,1463927.218875929713249,13,125171430,33141211,8231,PEORIA PUBLIC LIBRARY-RIVER WEST,ENG,B,312,S MERRIMAN ST,ENG,R, ,309-4972080,0,N,N,N,0,0, , , , , , 
2442580.123332835733891,1505963.525879256427288,14,0,0,8231,PEORIA PUBLIC LIBRARY NORTH BRNCH,ENG,B,3001,W GRAND PKY,ENG,R, ,309-4972100,0,N,N,N,0,0, , , , , , 
