OBJECTID,Unit_Code,Tax_Year,District_Name,WebSite,GlobalID,Shape__Area,Shape__Length
21,060,2017,AKRON TWP (Dist # 060),,635701fa-21cf-48d3-8aa9-39dddbc2d218,1016614742.66284,128045.854238048
22,075,2017,BRIMFIELD TWP (Dist # 075),,cc63cd27-c7d3-4318-af60-dcce52e51eb0,1016412946.63037,127847.822230518
23,092,2017,CHILLICOTHE TWP (Dist # 092),,e55c3d07-7101-4ee7-9504-e609e9447bc8,533659650.30127,142050.470160348
24,154,2017,ELMWOOD TWP (Dist # 154),,344e7d5d-4d02-4b98-b5c4-35f41dc1c5c6,1017597631.83325,127846.646138704
25,192,2017,HALLOCK TWP (Dist # 192),,c1443a4c-c8d1-42c4-8bea-facf4b5dae9d,1007168637.46826,127278.364931626
26,218,2017,HOLLIS TWP (Dist # 218),http://www.hollistownship.org,bb6c5150-e23a-48f6-a80d-ab639e71f67a,679625585.570557,114760.136459607
27,225,2017,JUBILEE TWP (Dist # 225),,228e261b-7762-4dda-892f-9c603e305efe,1011031426.33911,127602.236153438
28,235,2017,KICKAPOO TWP (Dist # 235),,6ba613df-a7e2-4ef4-80d5-b8eb9dfbcfd1,898888583.917969,196810.718725049
29,245,2017,LIMESTONE TWP (Dist # 245),,14585b26-a977-410a-953f-ebbfd912b86d,1005555750.00977,141811.884484776
30,260,2017,LOGAN TWP (Dist # 260),,00cd15a0-265c-48db-8777-9e44c7e4f809,1019255024.30469,135594.816933426
31,276,2017,MEDINA TWP (Dist # 276),http://www.medinatownship.org,ceddac98-a14b-4ab9-8cd0-162928e890ec,806091365.511719,189827.534958139
32,285,2017,MILLBROOK TWP (Dist # 285),,a8fd20db-b1bd-4d72-b01b-ceca8cdd33ac,1021278361.2334,127973.077732242
33,056,2017,PEORIA TWP (Dist # 056),,d5cc0a31-3a2f-4613-b191-c898569780e4,1121860224.16992,388276.362159486
34,327,2017,PRINCEVILLE TWP (Dist # 327),,f2e38fc5-bd4a-4bd2-a8ff-e788021ec097,1014802347.75854,127790.097326907
35,340,2017,RADNOR TWP (Dist # 340),,d1defa4f-15b2-47e8-aa2e-a2fdbbeb09e4,1027196410.91138,128959.91046653
36,350,2017,RICHWOODS TWP (Dist # 350),https://www.toi.org/Townships/Peoria_County/Richwoods_Township/Richwoods-Township,68a4cfd5-af86-40ce-8cfd-263790dd05ad,84661695.1242676,104212.877208718
37,360,2017,ROSEFIELD TWP (Dist # 360),,b2cabaeb-d86d-4f34-b07f-9dc3efdf3ab9,1018343166.39111,127788.706590636
38,373,2017,TIMBER TWP (Dist # 373),,7da5662b-5e9d-4713-bdf6-f760a8e7c0d8,1013566522.76245,154487.037147255
39,390,2017,TRIVOLI TWP (Dist # 390),,d5d675d1-2981-471f-9c67-f9bc12df5e3f,1002958234.50928,126706.088229637
40,502,2017,WEST PEORIA TWP (Dist # 502),cityofwestpeoria.org/index.php/government/township,f8cfb8b1-89b0-422e-8afe-a4ab0a4b0ee6,96415020.6396484,70771.9351364453
